aeropuerto,anio,mes,nacional,internacional,total
CZM,2017,8,15254,25786,41040
CZM,2017,9,10396,11755,22151
CZM,2017,10,10013,15997,26010
CZM,2017,11,12979,24175,37154
CZM,2017,12,15195,35784,50979
CZM,2018,1,12304,39938,52242
CZM,2018,2,10012,43891,53903
CZM,2018,3,13939,57630,71569
CZM,2018,4,12858,32822,45680
CZM,2018,5,11585,26031,37616
CZM,2018,6,12295,41402,53697
CZM,2018,7,21698,42963,64661
CZM,2018,8,16956,31869,48825
CZM,2018,9,12279,12217,24496
CZM,2018,10,12338,17788,30126
CZM,2018,11,16992,24869,41861
CZM,2018,12,18072,36971,55043
CZM,2019,1,13540,41636,55176
CZM,2019,2,11310,44936,56246
CZM,2019,3,15138,62087,77225
CZM,2019,4,18619,34133,52752
CZM,2019,5,20852,19919,40771
CZM,2019,6,18770,26475,45245
CZM,2019,7,20523,27621,48144
CZM,2019,8,17655,20700,38355
CZM,2019,9,11395,9085,20480
CZM,2019,10,11085,14750,25835
CZM,2019,11,13014,22817,35831
CZM,2019,12,17739,32624,50363
CZM,2020,1,15143,43294,58437
CZM,2020,2,12838,47786,60624
CZM,2020,3,9480,37348,46828
CZM,2020,4,288,194,482
CZM,2020,5,151,167,318
CZM,2020,6,387,1812,2199
CZM,2020,7,2114,8675,10789
CZM,2020,8,4191,8181,12372
CZM,2020,9,1779,6746,8525
CZM,2020,10,4967,10857,15824
CZM,2020,11,9532,14637,24169
CZM,2020,12,8857,18866,27723
CZM,2021,1,8172,16471,24643
CZM,2021,2,5333,14903,20236
CZM,2021,3,10243,32280,42523
CZM,2021,4,11906,28137,40043
CZM,2021,5,10667,35147,45814
CZM,2021,6,10204,43133,53337
CZM,2021,7,22064,45062,67126
CZM,2021,8,23963,28766,52729
CZM,2021,9,18832,15259,34091
CZM,2021,10,17478,22174,39652
CZM,2021,11,16888,33960,50848
CZM,2021,12,18598,42035,60633
CZM,2022,1,14397,36719,51116
CZM,2022,2,13381,38833,52214
CZM,2022,3,16368,56730,73098
CZM,2022,4,10246,39156,49402
CZM,2022,5,10786,39031,49817
CZM,2022,6,9573,45823,55396
CZM,2022,7,17193,53467,70660
CZM,2022,8,23284,39035,62319
CZM,2022,9,16210,21773,37983
CZM,2022,10,17222,30082,47304
CZM,2022,11,14289,39473,53762
CZM,2022,12,10557,49642,60199
CZM,2023,1,10916,49978,60894
CZM,2023,2,9512,46596,56108
CZM,2023,3,11613,61629,73242
CZM,2023,4,14194,39478,53672
CZM,2023,5,14706,31061,45767
CZM,2023,6,16986,38859,55845
CZM,2023,7,24040,42172,66212
CZM,2023,8,24686,28344,53030
CZM,2023,9,15939,18797,34736
CZM,2023,10,17663,24712,42375
CZM,2023,11,20149,38718,59867
CZM,2023,12,23595,52160,75755
CZM,2024,1,21480,56198,77678
CZM,2024,2,17380,60593,77973
CZM,2024,3,19643,73439,93082
CZM,2024,4,18631,46575,65206
CZM,2024,5,21448,35188,56636
CZM,2024,6,20142,37157,57299
CZM,2024,7,19972,32836,52808
CZM,2024,8,23574,22184,45758
CZM,2024,9,20588,12112,32700
CZM,2024,10,20136,20313,40449
CZM,2024,11,22659,27019,49678
CZM,2024,12,24940,38751,63691
CZM,2025,1,20079,46539,66618
CZM,2025,2,16059,47145,63204
CZM,2025,3,16421,56983,73404
CZM,2025,4,22995,33368,56363
CZM,2025,5,24465,26617,51082
CZM,2025,6,23850,27451,51301
CZM,2025,7,25030,27524,52554
